raw,monotone,lisse,reciproque,verif
-1.552713513,-1.559054,-1.559054,-1.552714,-0.401177
-1.661773085,-1.550957,-1.550957,-1.661773,-0.610604
-1.48057425,-1.542388,-1.542388,-1.480574,-0.342886
-1.607837557,-1.534409,-1.534409,-1.607838,-0.457429
-1.649748921,-1.526432,-1.526432,-1.649749,-0.579211
-1.65950191,-1.518480,-1.518480,-1.659502,-0.605585
-1.576705217,-1.509776,-1.509776,-1.576705,-0.422732
-1.22940123,-1.501034,-1.501034,-1.229401,-0.128565
-1.485157251,-1.493880,-1.493880,-1.485157,-0.347639
-1.393662214,-1.487407,-1.487407,-1.393662,-0.260950
-1.515862703,-1.481494,-1.481494,-1.515863,-0.372833
